web-scraper-order,web-scraper-start-url,titre_annonce,prix,nom-commune,code_postal,date_publication,Type,surface_all,nb_pièces,détail,Jardin,état,garage,cave_sous_sol,prix_m2
1613468485-48433,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=5,Maison 10 pièces 390 m²,104500,Hénin-Beaumont ,62110,"15 fév, 16:43",Maison,390,10,,,,,,267.94871794871796
1613469022-49189,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=83,Maison de 90m2 sur 2631 m2,188000,Evin-Malmaison ,62141,"06 fév, 11:29",Maison,90,,,,,,,297.93977812995246
1613468465-48115,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=14,Maison 2 pièces 200 m²,93000,Faumont ,59310,"15 fév, 09:49",Maison,200,2,,,,,,465
1613469060-49628,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=71,Maison 6 pièces 275 m²,132900,Meurchin ,62410,"09 fév, 04:24",Maison,275,6,,,,,,483.27272727272725
1613468456-47980,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=18,Maison 12 pièces 240 m²,120000,Vendin-le-Vieil ,62880,"14 fév, 23:22",Maison,240,2,,,,,,500
1613468397-47068,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=44,Maison Lens 15 pièces 400 m2,210000,Lens ,62300,"12 fév, 11:25",Maison,400,5,,,,,,525
1613469012-49051,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=87,Maison 6 pièces 300 m²,160000,Halluin ,59250,"05 fév, 13:00",Maison,300,6,,,,,,533.3333333333334
1613468993-48833,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=94,Maison 6 pièces 190 m²,105000,Sallaumines ,62430,"03 fév, 13:56",Maison,190,6,,,,,,552.6315789473684
1613469065-49667,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=70,Maison de ville 7 pièces 187 m²,107500,Laventie ,62840,"09 fév, 09:08",Maison,187,7,Maison de ville,,,,,574.8663101604278
1613469002-48956,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=90,Maison 2 pièces 256 m²,158000,Wattrelos ,59150,"04 fév, 15:26",Maison,256,2,,,,,,617.1875
1613468430-47559,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=30,Maison 10 pièces 256 m²,158000,Evin-Malmaison ,62141,"13 fév, 15:49",Maison,256,10,,,,,,617.1875
1613468995-48838,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=93,Maison 1 pièce 122 m²,80800,Tourcoing ,59200,"04 fév, 08:00",Maison,122,,,,,,,662.2950819672132
1613469053-49512,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=74,Maison 5 pièces 114 m²,76000,Pont-à-Vendin ,62880,"08 fév, 14:50",Maison,114,5,,,,,,666.6666666666666
1613469000-48935,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=91,Maison 1 pièce 121 m²,80800,Tourcoing ,59200,"04 fév, 11:37",Maison,121,,,,,,,667.7685950413223
1613469022-49219,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=83,Maison de ville 10 pièces 188 m²,126000,Hénin-Beaumont ,62110,"06 fév, 07:23",Maison,188,10,Maison de ville,,,,,670.2127659574468
1613469099-50104,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=57,Maison 5 pièces 170 m²,117000,Waziers ,59119,"10 fév, 23:06",Maison,170,5,,,,,,688.2352941176471
1613469079-49822,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=65,Maison 5 pièces 125 m²,92000,Meurchin ,62410,"09 fév, 22:59",Maison,125,5,,,,,,736
1613468490-48509,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=3,Maison 11 pièces 380 m²,280000,Roubaix ,59100,"15 fév, 19:28",Maison,380,,,,,,,736.8421052631579
1613469010-49044,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=88,Ferme 8 pièces 570 m²,429000,La Bassée ,59480,"05 fév, 04:15",Maison,570,8,,,,,,752.6315789473684
1613468476-48281,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=9,Maison 7 pièces 112 m²,85000,Waziers ,59119,"15 fév, 13:18",Maison,112,7,,,,,,758.9285714285714
1613468985-48721,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=97,Maison 10 pièces 193 m²,149000,Dourges ,62119,"02 fév, 20:23",Maison,193,10,,,,,,772.020725388601
1613468443-47772,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=24,Maison 3 pièces 240 m²,188000,Roubaix ,59100,"14 fév, 11:42",Maison,240,3,,,,,,783.3333333333334
1613468425-47504,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=32,Maison 1 pièce 320 m²,259000,Halluin ,59250,"13 fév, 12:00",Maison,320,,,,,,,809.375
1613468420-47424,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=34,Maison 5 pièces 320 m²,259000,Halluin ,59250,"13 fév, 10:49",Maison,320,5,,,,,,809.375
1613469027-49274,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=81,Maison de ville 10 pièces 295 m²,240000,Marchiennes ,59870,"06 fév, 15:22",Maison,295,10,Maison de ville,,,,,813.5593220338983
1613468490-48490,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=3,Maison 5 pièces 104 m²,85000,Roubaix ,59100,"15 fév, 21:20",Maison,104,5,,,,,,817.3076923076923
1613469048-49443,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=76,Maison 4 pièces 100 m²,82000,Sallaumines ,62430,"08 fév, 10:55",Maison,100,4,,,,,,820
1613469101-50140,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=56,Maison de ville 7 pièces 150 m²,123900,Ostricourt ,59162,"11 fév, 08:59",Maison,150,7,Maison de ville,,,,,826
1613468387-46918,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=48,Maison 3 pièces 190 m²,159000,Lens ,62300,"12 fév, 01:24",Maison,190,3,,,,,,836.8421052631579
1613468407-47199,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=40,Maison 9 pièces 165 m²,140000,Roubaix ,59100,"12 fév, 17:03",Maison,165,9,,,,,,848.4848484848485
1613469076-49802,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=66,Maison 5 pièces 175 m²,149460,Harnes ,62440,"09 fév, 17:30",Maison,175,5,,,,,,854.0571428571428
1613468472-48233,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=11,Maison 6 pièces 138 m²,120000,Roubaix ,59100,"15 fév, 11:16",Maison,138,6,,,,,,869.5652173913044
1613469106-50219,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=54,Maison de ville 7 pièces 110 m²,95990,Billy-Montigny ,62420,"11 fév, 11:12",Maison,110,7,Maison de ville,,,,,872.6363636363636
1613468397-47070,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=44,Maison 9 pièces 160 m²,140000,Roubaix ,59100,"12 fév, 11:23",Maison,160,9,,,,,,875
1613468445-47805,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=23,Maison de ville 6 pièces 180 m²,157600,Billy-Montigny ,62420,"14 fév, 12:39",Maison,180,6,Maison de ville,,,,,875.5555555555555
1613468456-47979,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=18,Maison 7 pièces 150 m²,132000,Roubaix ,59100,"14 fév, 23:30",Maison,150,7,,,,,,880
1613468392-46981,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=46,Maison 5 pièces 155 m²,137000,Roubaix ,59100,"12 fév, 10:01",Maison,155,5,,,,,,883.8709677419355
1613468458-48021,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=17,Maison 5 pièces 102 m²,91500,Roubaix ,59100,"15 fév, 07:38",Maison,102,5,,,,,,897.0588235294117
1613468407-47211,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=40,Maison 6 pièces 122 m²,109500,Armentières ,59280,"12 fév, 16:30",Maison,122,6,,,,,,897.5409836065573
1613468456-47967,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=18,Maison 9 pièces 250 m²,225000,Roost-Warendin ,59286,"15 fév, 03:32",Maison,250,9,,,,,,900
1613469040-49430,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=77,Maison 8 pièces 252 m²,227000,Tourcoing ,59200,"08 fév, 04:06",Maison,252,8,,,,,,900.7936507936508
1613469091-50016,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=60,Maison 5 pièces 101 m²,91000,Roubaix ,59100,"10 fév, 13:22",Maison,101,5,,,,,,900.990099009901
1613468472-48234,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=11,Maison de ville 5 pièces 122 m²,110000,Roubaix ,59100,"15 fév, 11:16",Maison,122,5,Maison de ville,,,,,901.639344262295
1613469091-50005,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=60,Maison 10 pièces 265 m²,240000,Roubaix ,59100,"10 fév, 13:22",Maison,265,10,,,,,,905.6603773584906
1613468404-47162,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=41,Maison 5 pièces 134 m²,121500,Ostricourt ,59162,"12 fév, 16:01",Maison,134,5,,,,,,906.7164179104477
1613469055-49551,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=73,Maison 5 pièces 140 m²,127000,Roubaix ,59100,"08 fév, 16:33",Maison,140,5,,,,,,907.1428571428571
1613468998-48901,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=92,Maison 9 pièces 166 m²,151000,La Couture ,62136,"04 fév, 08:26",Maison,166,9,,,,,,909.6385542168674
1613468447-47847,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=22,Maison 5 pièces 100 m²,91000,Roubaix ,59100,"14 fév, 12:57",Maison,100,5,,,,,,910
1613469074-49748,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=67,Maison 13 pièces 250 m²,228500,Loos-en-Gohelle ,62750,"09 fév, 16:55",Maison,250,3,,,,,,914
1613468494-48571,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=1,Villa d'Architecte Basse Consommation 5 chambres Terrain de 850 m²,780000,Lille ,59000,"Aujourd'hui, 10:13",Maison,850,,Villa,,,,,917.6470588235294
1613468447-47852,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=22,Maison 5 pièces 100 m²,92000,Roubaix ,59100,"14 fév, 12:52",Maison,100,5,,,,,,920
1613468998-48904,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=92,Maison de ville 7 pièces 107 m²,99000,Hénin-Beaumont ,62110,"04 fév, 08:16",Maison,107,7,Maison de ville,,,,,925.2336448598131
1613468409-47242,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=39,Maison de ville 6 pièces 245 m²,227000,Lens ,62300,"12 fév, 18:08",Maison,245,6,Maison de ville,,,,,926.530612244898
1613468384-46890,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=49,Maison de ville 8 pièces 140 m²,129800,Houplines ,59116,"11 fév, 17:23",Maison,140,8,Maison de ville,,,,,927.1428571428571
1613468988-48760,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=96,Maison 6 pièces 117 m²,108500,Roubaix ,59100,"03 fév, 08:00",Maison,117,6,,,,,,927.3504273504274
1613468420-47414,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=34,Maison de ville 7 pièces 250 m²,232000,Lens ,62300,"13 fév, 11:01",Maison,250,7,Maison de ville,,,,,928
1613468990-48772,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=95,Maison 5 pièces 115 m²,107000,Armentières ,59280,"03 fév, 12:46",Maison,115,5,,,,,,930.4347826086956
1613468988-48759,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=96,Maison 7 pièces 101 m²,95000,Leforest ,62790,"03 fév, 08:00",Maison,101,7,,,,,,940.5940594059406
1613468397-47059,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=44,Maison 4 pièces 100 m²,95000,Roubaix ,59100,"12 fév, 11:37",Maison,100,4,,,,,,950
1613468998-48903,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=92,Maison 6 pièces 250 m²,239000,Roubaix ,59100,"04 fév, 08:20",Maison,250,6,,,,,,956
1613468998-48894,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=92,Maison de ville 4 pièces 120 m²,114800,Lens ,62300,"04 fév, 09:02",Maison,120,4,Maison de ville,,,,,956.6666666666666
1613468422-47448,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=33,Maison 6 pièces 250 m²,240000,Roubaix ,59100,"13 fév, 11:31",Maison,250,6,,,,,,960
1613469101-50141,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=56,Maison 5 pièces 300 m²,288900,Wingles ,62410,"11 fév, 08:52",Maison,300,5,,,,,,963
1613468978-48609,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=100,Maison 9 pièces 260 m²,252000,Lens ,62300,"02 fév, 09:51",Maison,260,9,,,,,,969.2307692307693
1613469053-49514,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=74,Maison 7 pièces 200 m²,193900,Billy-Berclau ,62138,"08 fév, 14:48",Maison,200,7,,,,,,969.5
1613469084-49911,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=63,Maison 9 pièces 270 m²,262000,Noyelles-sous-Lens ,62221,"10 fév, 09:20",Maison,270,9,,,,,,970.3703703703703
1613469053-49507,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=74,Maison de ville 4 pièces 107 m²,104000,Billy-Montigny ,62420,"08 fév, 15:16",Maison,107,4,Maison de ville,,,,,971.9626168224299
1613468404-47167,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=41,Maison de ville 5 pièces 110 m²,107000,Loos-en-Gohelle ,62750,"12 fév, 15:53",Maison,110,5,Maison de ville,,,,,972.7272727272727
1613468422-47467,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=33,Maison 6 pièces 260 m²,254000,Noyelles-sous-Lens ,62221,"13 fév, 11:07",Maison,260,6,,,,,,976.9230769230769
1613468416-47354,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=36,Maison 8 pièces 140 m²,137000,Orchies ,59310,"13 fév, 08:58",Maison,140,8,,,,,,978.5714285714286
1613469065-49662,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=70,Maison 5 pièces 295 m²,289000,Wingles ,62410,"09 fév, 09:17",Maison,295,5,,,,,,979.6610169491526
1613468441-47748,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=25,Maison 7 pièces 127 m²,125390,Auby ,59950,"14 fév, 09:41",Maison,127,7,,,,,,987.3228346456693
1613468402-47137,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=42,Maison de ville 6 pièces 170 m²,168000,Harnes ,62440,"12 fév, 14:18",Maison,170,6,Maison de ville,,,,,988.2352941176471
1613468438-47685,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=26,Maison de ville 4 pièces 107 m²,106000,Lens ,62300,"14 fév, 09:07",Maison,107,4,Maison de ville,,,,,990.6542056074767
1613468399-47099,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=43,Longère 10 pièces 260 m²,257600,Orchies ,59310,"12 fév, 12:46",Maison,260,10,,,,,,990.7692307692307
1613468465-48128,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=14,Maison 8 pièces 160 m²,158750,Tourcoing ,59200,"15 fév, 09:40",Maison,160,8,,,,,,992.1875
1613469084-49899,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=63,Maison 5 pièces 150 m²,149000,Harnes ,62440,"10 fév, 10:01",Maison,150,5,,,,,,993.3333333333334
1613469112-50305,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=52,Maison 5 pièces 160 m²,159000,Wingles ,62410,"11 fév, 13:00",Maison,160,5,,,,,,993.75
1613468436-47647,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=27,Maison 4 pièces 168 m²,167000,Roubaix ,59100,"13 fév, 21:57",Maison,168,4,,,,,,994.047619047619
1613468436-47679,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=27,Maison de ville 4 pièces 107 m²,106500,Hénin-Beaumont ,62110,"13 fév, 19:18",Maison,107,4,Maison de ville,,,,,995.3271028037383
1613468387-46919,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=48,Maison 8 pièces 250 m²,249600,Lens ,62300,"12 fév, 01:14",Maison,250,8,,,,,,998.4
1613468414-47313,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=37,Maison de ville 4 pièces 100 m²,99900,Lens ,62300,"13 fév, 03:49",Maison,100,4,Maison de ville,,,,,999
1613468434-47626,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=28,Maison 6 pièces 162 m²,163000,Loos-en-Gohelle ,62750,"13 fév, 17:43",Maison,162,6,,,,,,1006.1728395061729
1613468422-47466,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=33,Maison 7 pièces 136 m²,137000,Hénin-Beaumont ,62110,"13 fév, 11:09",Maison,136,7,,,,,,1007.3529411764706
1613468988-48737,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=96,Maison 9 pièces 369 m²,372600,Roubaix ,59100,"03 fév, 10:25",Maison,369,9,,,,,,1009.7560975609756
1613468983-48688,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=98,Maison 10 pièces 147 m²,149000,Auby ,59950,"02 fév, 15:02",Maison,147,10,,,,,,1013.6054421768707
1613468394-47020,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=45,Maison 10 pièces 1 878 m²,890000,Beuvry-la-Forêt ,59310,"12 fév, 10:48",Maison,878,10,,,,,,1013.6674259681093
1613469040-49429,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=77,Maison de ville 7 pièces 132 m²,133900,Hénin-Beaumont ,62110,"08 fév, 04:47",Maison,132,7,Maison de ville,,,,,1014.3939393939394
1613468467-48160,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=13,Maison 5 pièces 130 m²,132000,Tourcoing ,59200,"15 fév, 10:02",Maison,130,5,,,,,,1015.3846153846154
1613469058-49580,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=72,Maison 8 pièces 180 m²,182900,Billy-Berclau ,62138,"08 fév, 21:09",Maison,180,8,,,,,,1016.1111111111111
1613469081-49865,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=64,Maison 4 pièces 110 m²,112000,Le Maisnil ,59134,"10 fév, 08:01",Maison,110,4,,,,,,1018.1818181818181
1613468445-47797,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=23,Maison 6 pièces 242 m²,247000,Roubaix ,59100,"14 fév, 12:40",Maison,242,6,,,,,,1020.6611570247934
1613469060-49629,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=71,Maison 5 pièces 130 m²,132900,Vendin-le-Vieil ,62880,"09 fév, 03:53",Maison,130,5,,,,,,1022.3076923076923
1613469099-50128,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=57,Maison 6 pièces 165 m²,169000,Harnes ,62440,"10 fév, 18:06",Maison,165,6,,,,,,1024.2424242424242
1613469112-50273,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=52,Maison 12 pièces 384 m²,394000,Flines-lez-Raches ,59148,"11 fév, 14:00",Maison,384,2,,,,,,1026.0416666666667
1613468414-47302,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=37,Maison de ville 6 pièces 114 m²,117000,Hénin-Beaumont ,62110,"13 fév, 07:35",Maison,114,6,Maison de ville,,,,,1026.3157894736842
1613468447-47827,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=22,Maison 6 pièces 112 m²,115000,Tourcoing ,59200,"14 fév, 13:27",Maison,112,6,,,,,,1026.7857142857142
1613469112-50300,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=52,Maison 7 pièces 364 m²,375000,Seclin ,59113,"11 fév, 13:17",Maison,364,7,,,,,,1030.2197802197802
1613468467-48170,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=13,Maison de ville 9 pièces 125 m²,128900,Billy-Berclau ,62138,"15 fév, 09:57",Maison,125,9,Maison de ville,,,,,1031.2
1613469050-49475,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=75,Maison de ville 9 pièces 192 m²,198000,Billy-Montigny ,62420,"08 fév, 12:54",Maison,192,9,Maison de ville,,,,,1031.25
1613468384-46903,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=49,Maison 3 pièces 140 m²,145000,Wattrelos ,59150,"11 fév, 16:41",Maison,140,3,,,,,,1035.7142857142858
1613468483-48403,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=6,Maison 2 pièces 240 m²,249000,Bachy ,59830,"15 fév, 15:28",Maison,240,2,,,,,,1037.5
1613468458-48013,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=17,Maison de ville 5 pièces 120 m²,125000,Waziers ,59119,"15 fév, 07:49",Maison,120,5,Maison de ville,,,,,1041.6666666666667
1613468993-48832,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=94,Maison 6 pièces 190 m²,198000,Billy-Montigny ,62420,"03 fév, 14:00",Maison,190,6,,,,,,1042.1052631578948
